,username,followers_count,following_count,user_tweet_count,listed_count,description,user_id
1627,HamFlat,266,2733,8200,2,"Vaxxed and boosted, masked…and I don’t give a flying fuck about your Freedumb, QTard conspiracies, anti-vax low IQ, plague rat verbal diarrhea.",274221588
1628,drs512,696,1487,32129,1,Married to my dream girl...what could be better?,952509391
1630,Learning2GetBy,7130,2610,115682,16,"If I'm not answering, you've been muted🤫",4499430739
1632,Lindapa60876795,102,36,6408,0,,1228502595313909760
1633,GoldenRuleHR,278,345,29628,1,,357624034
1635,MarinaArthur12,26,60,1186,0,I’m new here.,1416953190751293441
1636,millerd99,974,3271,111302,7,,104351679
1638,lilstanki1352,34,56,44,0,#BLM #swag #FBA #ACAB,1483973971267801098
1640,wrazn,300,672,6583,14,"Family med & palliative care doc, knitter, writer, gamer. OMA District 8 Chair / rural delegate. Opinions are my own. she/her.",68970474
1642,lynayanb,1937,4629,73224,90,Just a person who cares tweeting about climate & social environmental justice issues proud of lebanese heritage she/her,2903614908
1643,AISHWarRoom,2426,2087,1672,3,"Trying to stand up to the #UCP conservative government who make disabled Albertans suffer more everyday. (No UCP ministers on our driveways, please.) #AISH",1400344586841575425
1644,MsAmyMacPherson,15268,2756,21788,205,"Investigative political journalist, #CDNpoli & #USpoli elxns, ex CBC (digital & broadcast), ex HuffPo, ex KazaaLite admin, master of #OSINT & #InfoSec explorer",243413063
1647,JayDeeWriting,3651,5000,208913,42,"Mr. Self-Distract. (He/Him) Settler. Cis. Living in Ontario. Southpaw. Mama's only son. It may be getting dark, but the stars will be out soon. Not enough lett-",213104561
1649,oldmantucker23,36,269,1779,4,"Writer, Artist, Hashshashin, TV Addict",1479627742933135368
1650,LadyIngridHunt,3746,4856,3091,4,Just a kid who cut her own bangs.,1038421072213958656
1651,jdf754,2098,3963,299863,11,,902689690704367616
1653,LegacyAldous,0,0,46,0,,1481989653754433537
1654,57Buckie,183,467,3220,1,care free,1031641730263789569
1655,artisfire1,19,25,1740,1,"Artist, Dad, Explorer, Anti-Ignorance Warrior",825047927773093888
1656,Cernovich,827567,3180,169126,5371,"Films, books, family life.  2 Corinthians 10:4",358545917
1657,PeterStrongSB,2610,1818,4348,62,Communities must have a say in their economic futures. The national economy consists of lots of smaller economies - hundreds. Support & Trust them.,562701528
1658,ClaireHeaney,833,1494,6236,37,"Journo/author/blogger/freelance/content maker/media trainer/Tiger/fundraiser/Board member/ campaigner. Views mine, all mine. claire.heaney@news.com.au",47221753
1659,matthewdufresne,686,1630,5952,4,Fighter of misinformation and political bias. One liners (mostly) for comedic effect. Follow me for straight talk on politics.,197116275
1660,lynnca1972,755,812,13145,2,"🇨🇦🏳️‍🌈♿👩‍👧‍👦🥄
Atheist, pan, poly, she/her, I swear a lot, No DMs without permission, I block sales people and snitch taggers",7411152
1664,abujibreel_ON,270,1011,14886,1,"PhDuh (Twitter). Preferred habitat: Sun, Savannah. I actually do pubic health but comment on airborne feces management atm in #ONTerrible",1198172286915948544
1665,LVI52211,777,1602,60688,1,"Recently started watching korean and chinese dramas, love the costumes, scenery and romance.  Canadian politics, big PM Trudeau fan.  Love Cdn. tv series too.",1022319903338987520
1666,BeldroMercier,133,320,6442,1,"🦫-boy | Engineer by day, storyteller by evening | He/him | 🏳️‍🌈🔞 | 33 | Shy extravert, gay, lonely, single | Maker

pfp by @Mueritos",1385051483109052416
1667,davidgodfrey,404,5012,32679,0,I work for a home building company and am a dad,16704596
1668,AHandmaid2,282,862,7202,0,OfChris. A Troublesome Handmaid. We/our. Rabidly pro-choice & more. Reproductive justice is social justice. Baby Eating Whore.,1129079808208572416
1669,dvandersluis,68,166,7890,6,Lead Backend Engineer @ Pexels. Member of the #RuboCop core team. I tweet mainly about hockey and software engineering. My views are my own. 🇨🇦,14999693
1670,NoMoreColon,159,151,11919,0,,984205898502627329
1671,Natalie93829814,18,87,392,0,,1445741616409370647
1672,lizrossproudcan,2221,3607,61910,1,Mother of 3. Grandmother of 6. Been a Liberal supporter all my life.#TeamTrudeau. #VoteLiberal,1035299824856313857
1673,SayangRe,292,225,26937,2,"Enjoying “lockdown” with my soulmate. #AntiRacist #AntiFascist Talks left, walks left, votes left. I’m Triple vaxxed, wear a mask & social distance.🙏🏽",1246994012004892674
1675,tohmar,69,698,2733,0,"Born somewhere between 316 and 320 ppm....
#hubby and #daddio. Wanabe #traveler and dabbler in all things #photography #3dPrinting #crypto.",19118786
1677,Tyrone876,1533,515,88389,59,Global Nomad| #ClimateStrategy & Messaging| Savouring Moments| He/Him|👟🧘‍♂️😎#ClimateAction🌎,22397378
1679,wahope18,293,218,60633,2,,785448020628430849
1681,dallas_krz,587,3307,7413,5,"Safe-Supply, Anti-Fascist. Black Lives Matter. Land Back.",916754050250547200
1682,AndreaMurphy12,521,574,12062,10,Reader. Semi-lapsed editor. Botany volunteer. Drawn to the visual.,489648704
1683,Femaleanonymou3,4,3,87,0,,1307066121837830144
1685,AlbertaOtoole,4468,4990,73675,17,"Calling out Canada’s most immoral supporters, Conservatives. They try their best to get you SUSPENDED on Twitter, be careful.",1379812027116351495
1686,kelownagurl,4946,4037,190648,362,Retired | Scotch drinker | Traveller | Petsitter | She/Her | Walked Camino in 2016 | Politics | Genealogy | History |#TheArchers | IG: KelownagurlTravels | Blog,14299897
1687,sepidosiah,143,304,6065,0,“Goodbyes are only for those who love with their eyes. Because for those who love with heart and soul there is no such thing as separation.”         -Rumi,329824125
1689,zeeehas,11,41,7,0,,1273999220421394432
1690,RobertChaulk,1158,957,49373,4,,2165452722
1691,BodyImageDay,40,131,170,0,"After 35 years of hating my body, one day at a nude lake changed everything. Host of Body Image Day at a Nude Lake workshop. Body acceptance coach. Author.",1253504053297975298
1692,dmrider,21362,11742,283404,628,"Aging journo with the calves of a 15-year-old and a love of the absurd. Also, Toronto Star city hall bureau chief. Please email tips to drider(at)thestar.ca",23398730
1694,ProperManPetri,120,520,8689,0,Father/Environmental Science/Musician/Song writer/Stock Trading #msogang #cxxi/Energy/Politics/Sarcasm Fan,1245451608000884736
1695,Tarapaul,615,1711,20526,30,"Mom, Teacher, and proud supporter of PFSC and MLCFC",23155580
1696,HereToEmphasize,649,3963,28792,0,"Life is too short to argue with those who want to believe nonsense.
#MisinformationIsADisease
Your #vote is POWER 
#SocialMedia is not
#VoteWisely #VoteLiberal",1089561307307741185
1698,GadflyQuebec,4048,5000,471027,376,"freelance writer, editor, translator (francais-anglais) and semi-geek; omnivorous reader and news junkie lectrice omnivore bilingue",495066576
1700,bethritter1,34,426,2595,0,"pastry Chef, BA, 3x vaxxed EDS Ehlers Danlos Syndrome, zebra warrior",98564992
1701,CletusCanuck,263,1023,13991,3,"An allegedly sapient Tuber.

'Anonymous and sketchy entity... ZERO credibility'",137774521
1703,Eschelle,3830,1499,26287,280,Mother to two wild rambunctious boys and owner of http://t.co/NtJ0da4JiZ.  Embracing life's imperfections with the family & friends I love.,32419017
1706,dbyronic,344,410,73231,0,🇨🇦,1373591233
1708,CamRegier,547,447,12747,2,Views are my own. Likes and retweets are not endorsements.,1146134038480064517
1709,RandyDevost,169,753,2720,3,Husband + Father + Graphic Designer + Outdoorsman,103602843
1711,Cyncha20,3,14,779,0,,1487191205427486731
1712,guilmain5,33,438,1548,0,,1506896611
1713,Rickgear,260,498,342,0,,562304187
1715,BSantantonio2,96,460,5842,1,,823000551990431744
1716,KelleniDr,263,0,4991,2,"Developer of #KelleniProtocol a safe COVID cure https://t.co/SjOVE4CizB Anti #BioToxins vax, Pro the old & safe BCG vax. NO CONFLICT of INTERESTS",1340972996324941826
1718,gmarie55,7553,8194,409071,50,#IndigenousJusticeNOW 🧡🧡 #Resist #Persist #BLM #LGBTQ  🌈💙 #StandWithTrudeau #NeverCONS,1706203484
1719,SatinderSahota,368,1505,2994,21,"city building, political engagement, tech, campaign operations, swag supplier, volvo owner, traveler, softball player, soccer coach",14265398
1721,bitspec,1618,1944,37983,89,"BITSPEC International Accredited Training Org. by PeopleCert Org. Knowledge, Technology, Art e-, m-learning abstract to critical thinking  #leansixsigma",632082816
1722,jamneria,89,224,3789,0,Mother | Wife | Law Clerk                         🇨🇦🇵🇭🐶🛫📷💻📱🏝❤️,1007018776812908544
1724,carolfarringon,206,366,28588,0,"Jesus follower, Mom of 4 grown sons; fond memories of soccer practices, football games, garage bands 🇨🇦 #LTCjustice #feedthehungry #vaccinateyourkids",4729951645
1729,MarkZuccala,272,1478,17228,1,"Rise up this mornin',",1922785712
1730,oupitk,172,235,6382,3,Mom❤Wife❤Advocate,200153047
1731,icksterv,18,102,334,0,Seeker of joy. 28 year education veteran. I have a few thoughts and opinions (all my own). Failed troll - I’m too nice .💉💉💉,1477739540471287809
1735,helen_rumney,1470,3424,28121,72,"Film PR/writer/producer; ex-journo. Caffeine addict who devours movies, pop culture, politics. Lost on Jeopardy! I do crosswords in pen. Opinions obv my own.",22418027
1736,justmeinthe416,1420,1412,17732,3,Educator - Partner - Mom - Friend - Left Leaner - Social Justice Advocate - Seeking Balance!,4553086157
1738,iamSas,6130,1457,9336,154,Journalist & producer for @cbcpolitics / @cbcnews | 🇨🇦 TV pool producer | covering #cdnpoli | usually strategically off-camera | DM for contact info,25750744
1739,howlingplanet,119,732,8074,0,"Xtra!  views, some news, from BazA at HowlingPlanet",242644155
1740,Empath_Coach_RR,9332,9575,21491,5,"Not ashamed to admit I love people, aiming to bring more #truth & humanity into this world. 
Teaching Empath Empowerment®. Consciousness engineer 
#Leader",1224411898675957760
1741,OneMoreD8,1181,2432,142356,1,Mom.Wife.Grandma. 🥰Amateur genealogist. Patriot. ❤️#VoteBlueForAmerica 🇺🇸 Goal for 2022:Vote out all MAGAts! MAGA followers get BLOCKED! NO DM’s! 🛑,1217725430188298240
1742,SojournerNow,3302,5001,173953,121,"“Nothing is more important than stopping fascism, because fascism is gonna stop us all.”
― Fred Hampton",2267700079
1743,bebe1969,33636,24129,61261,25,"Resister💙, Animal Lover, Humanitarian Followed by @nancysinatra, @PalmerReport, @deAdder, @RoArquette, @johnfeal2, @DaveWeasel and @GlennKirschner2",1209871580026683392
1744,mom1bear,312,283,83188,30,In all the world there is no one else exactly like me.,780111689626681344
1745,LLynneIrwin,3715,3606,60350,5,"Home of #MorningInspirationFromLynne & #FavQuotesFromLynne 

I am an Anti Poverty/Mental Health/Srs/HCW ADV BUT that doesn't mean that I tolerate #COVIDidiots.",60058363
1746,victoriadirects,964,731,6322,8,Award Winning Theatre Director 🇨🇦,155678897
1748,elibremer,1581,411,275,17,"Olympian, veteran, businessman, husband and father. Candidate for U.S. Senate.",21419025
1750,7McVicK7,7,48,49,0,"introversion + social media presence = irony?
fact: the fastest 10 minutes in the world are the ones that come after you hit the snooze button.",1740561067
1752,AVindman,629444,918,1522,1721,Husband to @natsechobbyist. Vet. Defender of Constitution. NYT Best-selling Author. Former NSC/ WH Staffer. Doctorate JHU 22'. Lawfare Inst. #HereRightMatters,1005846500583321601
1753,Ladytronium,82,445,6207,4,"I breathe, I eat, I sleep, I have sex, I talk to people and eventually I'll die. Occasionally I think about what that might mean.",113393927
1754,PatChristophe17,146,623,8069,0,Retired Reg. Nurse 🍁 I follow science,1465498367673475072
1755,tocudmore,771,111,4761,37,"Senior Toronto Editor at the Toronto Star. All things baseball. Views are, sadly, my own",72922562
1756,KatwithaC,401,1249,7774,1,Citizen of the planet. Anti-elitist.,25514855
1757,peleardi31,38,2032,1735,1,"Top 1% Earner - I make money in minutes 💸
SocialEarn Influencer - Start earning instantly! 🤑
Top SocialEarn Earner 🏆
https://t.co/XSrCnj2YGn",1431673933296594945
1759,caitfowler43,29,112,25,0,,779796770062798848
1760,jsmith9999992,43,476,2259,0,I'm John Smith. I tweet. I trade. I eat. I sleep. Rinse and repeat. 🐍🔪💀🐖🧀🥩🐅💮🐉,494750684
1761,Uttec,292,5002,16874,5,Professional Internet Marketer,21518992
1762,stephenlautens,24775,1643,73787,0,"Legal gadfly, passionate moderate, smartass, occasional columnist, velvet jacket enthusiast. Looker-upper of dubious facts.",238220689
1765,melida19848652,70,3238,16746,3,amar la vida,1286402700436013057
1766,mighty580AM,1040,233,101027,14,Media provide diverse opinions & information essential to a democracy. Radio is different because its human connection also defines who we are as a people.,22424882
1767,Wordwiccan,1296,1037,81888,1,,71001891
1768,IdunsDaughter,187,260,10094,1,Be the reason your therapist reconsiders their career choice,44859857
1770,dubsndoo,14509,964,27781,23,"Retired, former sawmill worker for 30 years. husband, father of two beautiful girls.                   Boycott Trudeau Everything",922145728960512000
1771,DeHart8888,8846,9724,109021,6,My Great Grandfather was an Alabama Slave | Old School Civil Rights Activist✌🏾One Nation Under A Groove 🎶 | Howard Alum | Big Sister of  VP Kamala | Lupie🦋,973966368264589317
1772,SydneyLWatson,228650,920,9286,519,Host of You Are Here @blazetv | I make YouTube videos and complain on TV.  Aussie. 🇦🇺🇺🇲,962650783182331904
1773,AVestige1,8577,9420,167090,8,"#VotingRights  
#GetVaccinated  #WearAMask😷 | FQ if ur not vaccinated!",823367709526106112
1774,nat_resist,458,1149,11415,2,,431902223
1775,JenShort2,445,1300,6531,2,Patriotic Canadian 🇨🇦 and supporter of equal rights for everyone 🌈❤️🏳️‍🌈💑👩‍❤️‍👩👨‍❤️‍👨 she/her,415971165
1776,EmmaN11xx,237,93,12547,0,"26 🤡 she/her --

sometimes I post about clothes/bags I'm making.",139490734
1778,Wendy_Ross_,110,274,2786,6,OAST Clinic Administrator,20406841
1779,Hammy4002,56,344,1145,0,ello,1214765071852867591
1780,DaveWilderman,665,276,34832,53,"Customer Service, Marketing, Quality, Main Street, Local Small Biz are some of my passions. Must be able to verify followers as not bots or I block.",92848358
1781,Patrici17949126,522,1703,6009,0,Retired Nurse- 🔅#healthcareforall #BLM #AnimalRights #GoRedForWomen❤️#GetVaccinated #WearAMask,1289373557814951936
1782,NormalCanuck,2,10,96,1,,1455735561994612736
1783,CPercySearle,2058,2449,115790,108,"Retired, proud Mum & Nana, love travelling with @craigsearle1 huge Ottawa Senators & RedBlacks fan! 34 years of public service to Canada & 8 years military.🇨🇦",928998313
1786,bluewaterjelly,252,653,2429,8,"Outdoor Educator, Event Planner, Canoeing Instructor, Music Lover!",1160519052
1788,TorontoPost,3939,338,88400,146,A Consolidated News Source! The People's  News Source - No Sugarcoating Here!,421482494
1789,26aball,556,888,103792,15,"Animal lover, BA Anthro, BA Psych, Uni grad, gardening, environment, tennis & sarcastic as heck under a guise of kindness. LPC supporter 2021.",122130825
1790,kcmyam,108,174,11519,9,Proud Canadian - retired Royal Canadian Air Force.,163195519
1791,Vanished00One,156,146,6610,2,"THE REAL VANISHED001
If your entire world is shaped by a political ideology or party, you've missed the point of existence.",3072235147
1792,mohawknations,90,176,11514,1,,750356455199502336
1795,timmytinkers,194,634,7871,8,Unemployed in Greenland.,391414745
1796,DexysOfficial,16129,425,2351,173,Official Twitter for Dexys. ☆ DJ sets: davide@getinvolvedltd.com,322224576
1797,Kathy73921688,1136,1408,397688,5,No Lists please.  No DMs,1108409631334793216
1798,RNerd101,1686,1729,82082,2,🌎,1017191141760876544
1799,Cafesys,90,386,4782,0,,47467110
1800,ShariFreeWill,3271,760,235530,4,Watching the fall of civilized society worldwide and it is ugly and terrifying.,810887396728434689
1801,gladbutterfly,362,332,40743,51,,19006397
1802,Spenser009,19,457,5947,0,Buhhuhuh,32510603
1804,SK8Wireless,653,2052,1518,16,"Hockey Player, Runner, Biochemist, Psychology.",131551901
1805,harrietscontest,51,311,3973,0,,346346587
1807,deano42,834,2515,15890,12,Middle Aged Married Guy from the Suburbs. CoFounder of @ProudlySurrey.  Former @BCGreens candidate.  Former @SurreyDPAC communications director.,23844043
1808,teresaganna,545,1663,20119,8,"Against Fascism in all its forms. Drawdown Newmarket-Aurora,  Passionate about Nature. Black lives matter. Justice for Indigenous peoples. Women's rights.",1031334325
1809,poweredbymonkey,2266,4995,164915,2,( ´･･)ﾉ(._.`)   💙  ☜(ﾟヮﾟ☜)   💙  (☞ﾟヮﾟ)☞  💙,2408260398
1811,jahodgins,968,1461,47229,28,"Twins mom, learner, talker, teacher, coach my kids sports person...let's go outside, let's cook together! Take time to read and sing today!",171076111
1812,Uaskt,1179,1103,62024,45,"proud Australian, . I support the Australian Constitution. Witch. Gardener, Mum, Autism advocate, practical. VEGAN FREE ZONE.",262019242
1813,TaylorS11264605,1089,2291,53273,2,,1268023502344384513
1817,vegan_chiq,915,1954,12782,34,She/Her #DefundThePolice #AdoptDontShop #Vegan #Neurodivergent #ClimateEmergency #NoMorePipeLines,281012952
1820,BroncoChick21,6,28,294,0,"Godless Proud 2021 Bronco Momma!I believe We should all learn from yesterday,live for today and hope for tomorrow!Life is too short!",1437811003962675206
1821,Tonena,1,45,493,0,,46294476
1822,heatherdalelaw,890,1198,23578,37,"Lawyer with 16+ years’ experience. Big fan of justice being demanded. Democracy, equality, planet and animals. Damn right I am anti-fascist. She/her.",30477691
1823,pmagn,16141,17749,263647,534,#istayontheground #XR; Born @318ppm; #ClimateCrisis #ClimatEmergency #Photography,27049579
1825,eileenross_20,1277,2101,83925,76,,2241915118
1826,CryoPerSea,395,731,112076,5,"Hidden from the second sight, 
the third eye,
the fourth horseman, the fifth element, the sixth sense & the seventh son !

NOBODY IS PERFECT ! --- I AM NOBODY !",803569643340316672
1827,NickyRamone,143,373,12434,2,Any fule kno...,186618842
1828,JessieSutherl11,3710,4862,106152,4,"Retired, loving life. New device , had to set up New account. Political junkie, animal lover. Antifascist.",1080999330461343744
1829,LyndaorLinda,624,1193,10223,2,"#LGBTQ #BLM #climatechange #animalrights  #fuckracism #WomensRights
STAND WITH A WORKING TRUCKER-NOT A #KARENCONVOY
If I block you it’s because you’re a derp",3820482132
1830,thedailybeast,1350253,1021,373635,22979,"Independent. Intelligent. Influential. Send tips to tips@thedailybeast.com

Site issues? Please email membership@thedailybeast.com",16012783
1833,JordanJordanShw,220,492,16856,8,"Independent Thinker | American,Middle East Politics, Entertainment Commentator On YT 35K |  @theGrio,etc | Singer | Mainstream Host= Goal | Give Me A Chance!",825173681454403584
1834,ChazReddBear,2428,1525,48250,2,Deaf/Gay Canadian. The USA needs to save it's democracy & get the corrupt Trump/GOP in jail. I block stupid Twatwaffles & MAGAs. Please don't add me to lists.,3322377127
1836,pressprogress,28579,980,16097,483,"Award-winning Canadian journalism that:

🔎 Holds the rich & powerful accountable
🔎 Exposes unsafe & unfair workplaces
🔎 Shines a light on hate & bigotry",1900566776
1837,kmorga1,1556,2116,243174,0,EX Republican. #HandMarkedPaperBallots. ✍️.,517692984
1838,BeryaAryana,254,798,24,2,"Merch Designer, DM us for business and your personal demands and ideas to be printed. #bekind #resist #feminist #BLM #LGBTQ #trumpforprison  #BidenHariss #USA",1478461496615182341
1840,Cherleen17,3209,4979,7536,8,"🇨🇦
💙💙💙💙 #BLM. Anti facist. Pro Democrats🌈
NO DMs",1177298606010843136
1841,PirateJack14,5,188,600,0,"Books, games, writing, art. poet.",1450605542687350786
1842,Par2Edin,239,512,32817,1,,4033615835
1844,LittleLamb9,925,2499,128549,17,#Liberal #HabsFan #Coldplay #Dogs #Jays #PlantBased #IrishCanadian #PearlJam #CageTheElephant. Just my take on stuff.,353379283
1846,NancyALaRose,1130,1563,9617,6,"Canada is no place for an elephant. The world is watching Edmonton  Valley Zoo 
#PackHerTrunk #FreeLucy 🐘",391717660
1848,Peach62,593,2889,8351,0,Office Admin at SWTR Services Married to my boss Opinionated and at my age don’t give a rats ass what others think of me!!!,24055967
1849,chucktortellini,102,0,15020,2,Former supermodel and submarine chef. Paper cut survivor. Married to the luckiest man alive.,1235197439012814850
1851,bkmelia8,70,666,19281,1,BA in English Literature and MA in Information Studies and Library Science. 27 years old. She/Her.,979064946184028161
1852,DonalynMcintyre,246,229,13560,3,pragmatist feminist atheist socialist .... wanna hear my view? I’m a believe in science “tist”,1255627961228812290
1854,pugwynde,340,1157,5662,0,"Rescue pug lover. Jewelry creator. Rockhound. Moon photographer. Green chile aficionado. Hypocrisy hater. 🌊 Colorado-raised, New Mexican at heart.",25473296
1857,imobannon,2969,2093,28122,131,"Navy ground force veteran, liberal Dem, Ally. Using my privilege for the greater good. Editor, journalist, historian, other things, yada yada yada.",30792449
1858,Sharonapple123,1172,1917,109835,14,Political junkie. Lives off eucalyptus. She/Her. BLM. Stop Asian Hate. Trans lives matter.,3434791216
1859,jrbrown19,361,375,1210,13,"James Brown Photography - Family & Newborn photographer, firefighter & @ShuniahPIO. #tbay #ThunderBay ~ Contact me for print orders.",167606245
1860,GiveSendGo,52978,4086,10430,227,The number one Free Christian crowdfunding platform.  Raise money for anything that shares Hope in the world. https://t.co/GEPPrA8hKm,336464442
1861,AdrianaCothran,3863,3831,137098,6,"GOD/Family/Country/Conservative/born again/pro-life/wife/30 years in the USA/Brazilian born/AmericaFirst🚫DM&SDV🚫""Make Speech Free Again"" GETTR@AdrianaCothran.",1062049005977382913
1863,cvbeauchamp,147,611,2147,1,I’ve somehow managed to avoid both #Covid and #Wordle,46140368
1864,TorontoStar,1123165,615,369890,8448,"Get the latest news, alerts, sports, photos and more from Canada's largest daily newspaper.  1-800-279-0181 Instagram: (@)thetorontostar",12848262
1865,melahoney36,47,618,1880,2,Mother of 2 amazing boys! I’m always trying to keep moving forward 🙏💕,89753464
1866,fhachey2,27,85,235,1,,1475978275
1867,PeskySens4life,1325,3012,153088,43,"Sports fanatic. Die hard fan of the #Sens, #Steelers, #TiCats, #Tigers & #MICH. Brutally honest.",67206025
1869,Jrow37034463,43,134,4843,1,,1484978289391247361
1871,jeymien,110,413,4027,0,"scifi/fantasy/horror lover, writer, perpetual student, BA (Adv) Anthropology, continuing education professional, druid/WoW, summoner/FFXIV, she/her, bi/demi",67361016
1872,JessicaTurner01,629,1921,12393,22,"Intersectional settler. learner. whispering into the void. she/her/elle. 🌱 fmr: gov/stakeholder relations, media relations, private/pub comms, press sec",357006503
1873,trudy_watts,207,669,3110,3,It's time for all hands on deck. Our planet deserves nothing less.,1068521311
1874,Scottyfresh79,101,636,1121,1,,454281444
1876,mmoals4,1591,4432,26523,36,It's not your job to like me. it's mine! Anything Canadian🇨🇦 🏳️‍🌈 ally. #WearYourMask #GetVaccinated #TeamTrudeau. Views are my own.,15087758
1877,BcTechie,56,60,8568,2,"Vancouver BC. Techie. I care about a healthy economy, freedom, and env. stewardship. Opinions are all mine. I tweet because I can't make a difference.",1171608882507943936
1878,NotMyBub,1629,4092,9488,1,"“Freedom without equality is the jungle. Equality without freedom is a prison. We want neither the jungle, nor the prison. """,1250431937321164807
1879,Claire_Myfanwy,290,1063,14515,2,"✝️ Doctor (MB.BCh 1994) in lockdown since 2010 due to illness #pwME #MillionsMissing #fobw #severeME
Retweet/Like does not imply endorsement.",480775261
1880,WEPISKNEWS,23,92,1846,4,WHAT EVERY PACIFIC ISLANDER SHOULD KNOW,1324861952091328512
1881,ksorbs,762095,325,18739,2291,"Actor, director, producer, author. Click the link to see me on Locals",33608041
1882,KrystleRoseKing,13407,14337,29169,243,#BlackLivesMatter | #EveryChildMatters | #CanadianLiberal | #Feminist | #Artist #UnionActivist,32913859
1884,KearneyBourque,2,25,139,0,"Husband, animal lover, vegan cook, ex-political junkie, piano player, serial hobby quitter, terrible baker, loather of children’s choirs, lover of random facts.",1482260853835636737
1885,beckskullemoji,205,821,4785,5,love overcomes. she/her. #BLM,438065105
1887,The99Percenter,386,937,24434,16,Let's restore government to We The People by ending two-party rule in America. We need a political party of the #99PercentParty.,704891292040437761
1888,SteveLessner,657,4992,31384,9,"Elsa's husband. Retired, disabled Navy Vet. Crohn's disease. Pfizer x 3.",401142453
1889,henryking507,52,120,1868,0,"travel, architecture, food, photos, art and a little bit of running",1183626494758621185
1890,ryeguyisms,35,112,2431,0,,28433209
1892,cmusician,4068,4995,278528,360,"Mus Bac, UofT, retired teacher, amateur fishing guide, living on Treaty 3 land; seniors' advocate. RTs are not endorsements; may be triggered by incredulity ..",255067647
1894,trudeautrucker,12,21,908,2,waiting for sanity.,1478605946893049857
1896,DanicaHere,1380,868,66079,46,"@VariantEDmonton Cominatrix. @soupytoasterson’s partner in life & business. Cat mum to @VEinterns. Host @DoctorWhooch, #SYTYCDanica. Bifurious. She/Her.",85263749
1897,AShoutAbout,2011,5000,15233,6,"Retired/PWD - Community Volunteer - Disability Advocate B.C.
****I do NOT respond to DM****",235336653
1898,cfayre,120,549,4418,0,"So much more to me than can be described  here. I love history, mythology, and theology. I love the Earth and animals, and will advocate for both until I die.",100328974
1899,smiteri,147,102,45758,27,"Well, this can’t be more useless than my Google Buzz account.  Or can it?  Let’s find out.",258001300
1900,worldofbastards,5,134,1246,1,M. 6'. 90kg. White. Ageing. Burdened by privilege.,2253103538
1901,JoshButler,44339,3212,53576,438,Political reporter @GuardianAus • DMs open • josh.butler@theguardian.com • secure: joshbutler.journalist@protonmail.com • plz send tips/memes,60496760
1902,TheGentYYC,8698,8679,147755,178,#ClimateEmergency vs the #AgeOfTheBozos. #ClimateWarrior at large. I #StandBehindTheScience & so should you. He/him. Treaty 7 occupant,182230187
1904,Gregsbelle,224,519,6225,58,"zero-tolerance policy for any bigotry - 🚫Racism, sexism, homophobia, transphobia, etc.  I REPORT/ block ALL BOTS and BULLIES  so dont waste your time",30848257
1905,jacobroccomom,24,129,558,0,,257050600
1907,Sandpailsphoto,44,110,107,0,"Mama, ER nurse, photographer, light seeker, animal lover, believer in kindness",2806449325
1909,oldmanDerby,402,1646,13381,6,,348853525
1911,thomaus,371,790,9668,12,Turn it over to the women.,19431488
1912,passenthrough,291,94,61382,2,,190203516
1913,jme6475,7,57,832,0,"Canadian with roots from Mongolia. Technology, phones, computers and more!",209606793
1914,JustAChick2021,31,136,582,0,"Royals👑, Labor👤, Dogs🐶. In No Particular Order. Lover Of The Hashtag #teamcambridge #auspol #IStandWithTheQueen #DogsOfTwitter",1435044196595818499
1915,PRGuy17,51869,503,42101,168,PRGuy. Not affiliated with Hillary Clinton.,1238370241169616897
1916,rachelanilee,180,168,4072,1,She/they | Chronicles of a clumsy existence,364659998
1918,mgthayes1,116,192,1185,1,all my tweets are mine own and reflect my opinion only.,2593798064
1919,PennyDaflos,19770,1583,15649,0,"@CTVVancouver journalist. Reporting style: confrontation with a smile. Lover of sci-fi, hater of puns & producer/host of the “BTS with CTV Vancouver"" podcast.",18440301
1920,arsongurl,202,306,1535,4,"Mom, Dragon slayer, Greek Island hopper, Foodie and wine lover....Triple Vaxxed, just sayin!!!🇬🇷🇨🇦  🌟NEW ACCTS, NO FOLLOWS, RUDE= U R BLOCKED",261516453
1921,JCCFCanada,58129,1362,5424,198,"The Justice Centre is a non-partisan, non-profit public interest law firm that takes on cases protecting the Charter Rights and Freedoms of Canadians.",45976740
1924,RichUnderhill,3514,4983,55778,0,"Juno winning sax man, Shuffle Demon, cyclist. My music here! https://t.co/6wsVI5EHa4 & https://t.co/xN1xIKPVEd",14958650
1925,MMH909TC,5094,5599,82661,18,ゲーム情報等つぶやきます。パワプロ2020とパワプロアプリPD、PTCGO（ポケモンカードのゲーム）。楽天roomでもゲーム等のコレクションを更新中。パワプロアプリ、パワプロ2020のチャンピオンシップ。AxieInfinity。兄教師育児助け。プロスピ2021買った。Pococha引退。仮病じゃない！😃笑顔のまんま,855937917767696384
1926,NewZealand_cafe,2717,4999,97210,70,福岡&九州🌏の未来を考え″福岡一お得&理系も学べる”がconceptの英語教室です🐣入会金等不明確な料金不要🌸😺🌸英会話カフェ千円/2時間☕楽しく“有意義なTeaTimeになると🍵💞🌍🌏🌎ですね☀🌌Rie(物理学専攻)from宮崎https://t.co/WcuEZRaL1B☎090-2082-4858,100928576
1927,LookdontLeap,25,91,1943,0,"Speaking for everyone from both sides honestly, in seeking consensus in humanity",1092072798284058624
